variant_id,variant_label,variant_description,n_contexts,mean_test_f1_macro,std_test_f1_macro,mean_test_accuracy,mean_test_balanced_accuracy,mean_delta_test_f1_macro_vs_proposed,median_delta_test_f1_macro_vs_proposed,min_delta_test_f1_macro_vs_proposed,max_delta_test_f1_macro_vs_proposed,mean_selected_n_layers,practical_wins_vs_proposed,practical_ties_vs_proposed,practical_losses_vs_proposed,variant_order
top1_only,Top-1 layer only,Uses only the independently best single layer according to validation.,45,0.9559768298822989,0.020361066925299282,0.962916594196011,0.9540142447171738,-0.0056306161926815345,-0.0040823634251297,-0.0270199263016962,0.0032930896974333,1.0,0,28,17,0
all_layers_uniform,"All layers, uniform weights",Uses every available layer with uniform distance weights.,45,0.9581653934992285,0.022345731510516054,0.9646261018813901,0.9563290080118302,-0.003442052575752102,-0.0004845633889829,-0.0331474539647806,0.0070581818366896,5.666666666666667,2,32,11,1
ranked_prefix_uniform,"Ranked prefix, uniform weights","Same ranked-prefix candidate pool as the method, but with uniform weights.",45,0.9599486998236497,0.018484694371249215,0.9663467272201887,0.9577988666580239,-0.0016587462513307956,-1.1102230246251563e-16,-0.0165521893179202,0.0051625736502042,2.488888888888889,1,39,5,2
ranked_prefix_score_power,"Ranked prefix, score weights","Same ranked-prefix candidate pool, with deterministic validation-score weights.",45,0.95994686289309,0.018479676438393045,0.9662804910883788,0.9578340618151703,-0.0016605831818906536,-0.0002162565405346,-0.0165521893179202,0.0035916986324388,2.488888888888889,0,40,5,3
greedy_forward_score_power,"Greedy forward, score weights","Forward layer selection by validation, using validation-score weights.",45,0.9603819366613576,0.018677664486340742,0.96678640472374,0.9582693597987386,-0.0012255094136228181,-1.1102230246251563e-16,-0.0165521893179202,0.0053585742171323,2.5555555555555554,1,39,5,4
greedy_forward_uniform,"Greedy forward, uniform weights","Forward layer selection by validation, adding layers conditionally, using uniform weights.",45,0.9606417221792044,0.01885629905565271,0.9669182678171058,0.9583387497589497,-0.0009657238957760135,0.0,-0.0165521893179202,0.0053585742171323,2.6,1,39,5,5
proposed_method_reference,Proposed method,Cached selected Proposed method configuration used in the main paper matrix.,45,0.9616074460749805,0.018451065039019728,0.9682912754679882,0.9596812622032057,0.0,0.0,0.0,0.0,2.7777777777777777,0,45,0,6
